feature,attention_neuron_1,attention_neuron_2,attention_neuron_3,attention_neuron_4,attention_neuron_5,attention_neuron_6,attention_neuron_7,attention_neuron_8,attention_neuron_9,attention_neuron_10,attention_neuron_11,attention_neuron_12,attention_neuron_13,attention_neuron_14,attention_neuron_15,attention_neuron_16
value_eth,0.24587610277601366,0.005026774024832649,0.014546819608928875,0.3005221728488997,0.21437935582223838,0.21029258542786083,0.018979813697598467,0.20823192701919094,0.015981416470883063,0.0007413046591192352,0.8902168135610562,0.032429060002174354,0.6613613549924406,0.6710735638812055,0.024721075345361745,0.7850944816010889
is_zero_value,0.06891736526125121,0.12766305535257136,0.171690228775294,0.37942725192352655,0.08902867819544612,0.031112374569833418,0.12545612621024368,0.3766449873004492,0.05118256898913698,0.04174784004572052,0.14703782336397664,0.027032637129312687,0.2525062360602543,0.33842702180692164,0.33908603234910334,0.10267903447908354
gas_price_gwei,0.6457857499745192,0.0010839117839574,0.6293054431217283,0.2574641712275272,0.36571104070346194,0.7350779375915327,0.5767927240038679,0.05378589985061076,0.0073553418543695764,0.4624758439611951,0.13156284500896404,0.04423168359524097,0.027435575917492485,0.02057079744628299,0.20578167089270394,0.030979391456047604
gas_used,0.2035026127246469,0.15504481757006083,0.263262772085776,0.2442698280224894,0.6219573344136436,0.030497742486552643,0.06207550312278423,0.21846314594941796,0.11070731867795722,0.1780937289158061,0.006280336690695994,0.6113390471267464,0.11699466379400109,0.13845166123094,0.2003423350016956,0.24403078338270523
gas_limit,0.23075321579641775,0.004830196512061566,0.17369107494597893,0.19880220803474208,0.58007722471911,0.27003228481379815,0.1969419901615589,0.17868426090938042,0.2962391223878064,0.006351016490762814,0.035345156563256146,0.8032010603532562,0.11182318167760513,0.1316134219619207,0.2754608509794629,0.059112064088515895
gas_efficiency,0.016321313769707524,0.08179647571978454,0.007422608179144333,0.1514024621776994,0.13704264185605208,0.29083686933436065,0.3169107380597588,0.18682982088439032,0.04408069319751636,0.09735387770787049,0.06610729609323758,0.17453560122449982,0.13937751232195214,0.17415907047707435,0.3337983488132756,0.10683855795089849
hour_sin,0.026730248272837796,0.005565492106416101,0.009032562883022987,0.05949785900883608,0.015325530270548808,0.02010579534000064,0.1022624101153684,0.09433687921406513,0.013425929407375017,0.0752275746776092,0.057206021339826524,0.04513706130181465,0.0865322962390216,0.10915290021643535,0.37453856235445365,0.07354421331727179
hour_cos,0.013778008619391213,0.066348669748937,0.06640332449715816,0.2156342910330192,0.15756656343670392,0.0304555763140039,0.060155562961910596,0.07767017559406474,0.012248170882006396,0.04472716727765181,0.07160781865395713,0.06110749527703659,0.13448099906000383,0.20228561577637258,0.2379309836080674,0.07740354639650812
is_weekend,0.031149603798041516,0.07924752971683785,0.06181710619953627,0.3063057538325476,0.06896870294362063,0.004859570460889691,0.036262865590543224,0.08232206809772565,0.05797381388697022,0.08105486734642274,0.14280295235842594,0.08363098016176206,0.1287353115405596,0.3746389135871264,0.18127911739484945,0.09553067216194626
is_contract_call,0.008017311022621073,0.25310981488842,0.20481886203121044,0.48636931688426976,0.1333487957642752,0.005400398966829229,0.19728325912800415,0.4870359130446637,0.06185883443687416,0.27672518954212405,0.055849779686354496,0.23601193504083207,0.1784961548645681,0.30078320613798265,0.23778259685751119,0.00028144954962119125
