rank,feature,attention_importance
1,value_eth,0.26871716385868083
2,gas_price_gwei,0.26221250177434385
3,gas_limit,0.2220598956497271
4,sender_unique_to,0.2164469410973015
5,gas_used,0.21283210194974495
6,sender_avg_value_eth,0.20460118620108708
7,is_contract_call,0.19519830111538508
8,input_len_bytes,0.17676555071740568
9,is_error,0.1755706944363856
10,sender_avg_gas_eff,0.17327103658413387
11,is_zero_value,0.1668524538632578
12,nonce,0.1609202218152475
13,is_self_tx,0.1595229927535499
14,method_id_frequency,0.1572447008251398
15,sender_tx_count,0.15300903877410832
16,gas_efficiency,0.1453008679854514
17,is_first_tx,0.14268530690002335
18,sender_error_rate,0.13135417360082624
19,is_weekend,0.11353623931736283
20,hour_cos,0.09561274807104952
21,hour_sin,0.07297633350405648
