feature,shap_importance,shap_rank,attention_importance,attention_rank
nonce,0.05110337968228372,1,0.1609202218152475,12
is_contract_call,0.04029003466381432,2,0.19519830111538508,7
is_error,0.03887147216165958,3,0.1755706944363856,9
sender_unique_to,0.038206984522396695,4,0.2164469410973015,4
method_id_frequency,0.031082998631754417,5,0.1572447008251398,14
sender_avg_value_eth,0.030477357973657027,6,0.20460118620108708,6
is_first_tx,0.02985624564588592,7,0.14268530690002335,17
is_zero_value,0.02929195970319323,8,0.1668524538632578,11
is_weekend,0.024851293525158604,9,0.11353623931736283,19
sender_tx_count,0.023102529580550354,10,0.15300903877410832,15
gas_limit,0.020546922538421122,11,0.2220598956497271,3
gas_used,0.020030458469653983,12,0.21283210194974495,5
sender_avg_gas_eff,0.019666173415907717,13,0.17327103658413387,10
gas_price_gwei,0.019084522467511862,14,0.26221250177434385,2
gas_efficiency,0.018093299441731592,15,0.1453008679854514,16
sender_error_rate,0.017110103545232357,16,0.13135417360082624,18
value_eth,0.014513917757746294,17,0.26871716385868083,1
hour_cos,0.014491185245031905,18,0.09561274807104952,20
hour_sin,0.013611386849075974,19,0.07297633350405648,21
input_len_bytes,0.013416647085850646,20,0.17676555071740568,8
is_self_tx,0.00030532917061466364,21,0.1595229927535499,13
