rank,feature,shap_importance
1,nonce,0.05110337968228372
2,is_contract_call,0.04029003466381432
3,is_error,0.03887147216165958
4,sender_unique_to,0.038206984522396695
5,method_id_frequency,0.031082998631754417
6,sender_avg_value_eth,0.030477357973657027
7,is_first_tx,0.02985624564588592
8,is_zero_value,0.02929195970319323
9,is_weekend,0.024851293525158604
10,sender_tx_count,0.023102529580550354
11,gas_limit,0.020546922538421122
12,gas_used,0.020030458469653983
13,sender_avg_gas_eff,0.019666173415907717
14,gas_price_gwei,0.019084522467511862
15,gas_efficiency,0.018093299441731592
16,sender_error_rate,0.017110103545232357
17,value_eth,0.014513917757746294
18,hour_cos,0.014491185245031905
19,hour_sin,0.013611386849075974
20,input_len_bytes,0.013416647085850646
21,is_self_tx,0.00030532917061466364
